騎手名,調教師名,出走回数,1着,2着,3着,勝率,複勝率
矢野貴之,藤田輝信,91,34,14,9,37.40%,62.6%
笹川翼,小久保智,105,30,16,16,28.60%,59.0%
吉井章,的場直之,100,26,12,9,26.00%,47.0%
笹川翼,繁田健一,74,26,10,11,35.10%,63.5%
張田昂,張田京,161,25,35,21,15.50%,50.3%
矢野貴之,高月賢一,89,22,15,12,24.70%,55.1%
野畑凌,小久保智,101,21,12,8,20.80%,40.6%
本田正重,川島正一,83,20,15,18,24.10%,63.9%
御神本訓史,川島正一,50,20,9,4,40.00%,66.0%
福原杏,水野貴史,107,19,11,15,17.80%,42.1%
山口達弥,林正人,207,18,33,16,8.70%,32.4%
本田正重,新井清重,74,18,9,12,24.30%,52.7%
西啓太,坂井英光,54,18,9,5,33.30%,59.3%
笹川翼,米田英世,87,17,15,14,19.50%,52.9%
和田譲治,宗形竹見,95,17,15,4,17.90%,37.9%
安藤洋一,荒山勝徳,45,16,8,5,35.60%,64.4%
笹川翼,荒山勝徳,31,16,8,2,51.60%,83.9%
笹川翼,新井清重,85,15,17,12,17.60%,51.8%
笠野雄大,稲益貴弘,36,15,5,2,41.70%,61.1%
山崎誠士,山崎裕也,98,14,11,14,14.30%,39.8%
矢野貴之,内田勝義,50,14,11,8,28.00%,66.0%
笹川翼,高月賢一,54,14,8,7,25.90%,53.7%
中山遥人,小林真治,53,14,7,0,26.40%,39.6%
矢野貴之,渡邉和雄,43,14,6,6,32.60%,60.5%
野畑凌,高月賢一,107,13,19,12,12.10%,41.1%
矢野貴之,福田真広,36,13,8,3,36.10%,66.7%
七夕裕次郎,工藤伸輔,83,13,7,5,15.70%,30.1%
本田正重,山下貴之,74,12,17,13,16.20%,56.8%
岡村健司,齊藤敏,107,12,11,11,11.20%,31.8%
安藤洋一,藤田輝信,81,12,9,9,14.80%,37.0%
野畑凌,佐藤博紀,65,12,9,6,18.50%,41.5%
矢野貴之,山田信大,48,12,6,8,25.00%,54.2%
山中悠希,新井清重,43,12,5,5,27.90%,51.2%
野畑凌,鈴木義久,52,12,5,2,23.10%,36.5%
山中悠希,佐々木清明,51,12,4,3,23.50%,37.3%
笹川翼,稲益貴弘,23,12,3,2,52.20%,73.9%
藤田凌,阪本一栄,88,11,13,5,12.50%,33.0%
高橋昭平,立花伸,104,11,11,8,10.60%,28.8%
笹川翼,加藤誠一,34,11,11,2,32.40%,70.6%
菅原涼太,堀千亜樹,99,11,9,7,11.10%,27.3%
本橋孝太,石井勝男,91,11,8,11,12.10%,33.0%
矢野貴之,荒山勝徳,37,11,8,2,29.70%,56.8%
矢野貴之,川島正一,38,11,7,4,28.90%,57.9%
矢野貴之,鈴木啓之,28,11,7,2,39.30%,71.4%
野畑凌,水野貴史,51,11,4,4,21.60%,37.3%
野畑凌,坂井英光,37,11,3,1,29.70%,40.5%
岡村健司,平山真希,76,10,15,10,13.20%,46.1%
町田直希,平田正一,71,10,15,10,14.10%,49.3%
達城龍次,鈴木啓之,73,10,12,8,13.70%,41.1%
山崎誠士,山崎尋美,104,10,11,11,9.60%,30.8%
本橋孝太,小久保智,56,10,7,4,17.90%,37.5%
山中悠希,小澤宏次,68,10,6,5,14.70%,30.9%
笹川翼,真島大輔,27,10,6,4,37.00%,74.1%
鷹見陸,米田英世,21,10,4,0,47.60%,66.7%
野畑凌,甲田悟史,30,10,3,3,33.30%,53.3%
吉井章,松浦裕之,133,9,13,22,6.80%,33.1%
町田直希,内田勝義,78,9,12,9,11.50%,38.5%
笠野雄大,山中尊徳,107,9,12,8,8.40%,27.1%
福原杏,平山真希,56,9,9,6,16.10%,42.9%
笹川翼,中道啓二,33,9,8,4,27.30%,63.6%
町田直希,繁田健一,58,9,7,6,15.50%,37.9%
笹川翼,森下淳平,28,9,6,5,32.10%,71.4%
佐野遥久,山崎裕也,27,9,5,0,33.30%,51.9%
保園翔也,野口寛仁,70,9,4,5,12.90%,25.7%
野畑凌,新井清重,37,9,4,4,24.30%,45.9%
見越彬央,小久保智,58,9,4,4,15.50%,29.3%
和田譲治,真島大輔,23,9,4,2,39.10%,65.2%
藤田凌,荒山勝徳,30,9,4,0,30.00%,43.3%
本田正重,山中尊徳,28,9,3,4,32.10%,57.1%
御神本訓史,藤田輝信,32,9,2,3,28.10%,43.8%
山中悠希,田中力,31,9,1,2,29.00%,38.7%
木間塚龍馬,矢野義幸,262,8,17,20,3.10%,17.2%
山本大翔,佐藤裕太,52,8,9,4,15.40%,40.4%
新原周馬,林隆之,61,8,8,4,13.10%,32.8%
野畑凌,箕輪武,42,8,8,3,19.00%,45.2%
野畑凌,秋山直之,45,8,7,6,17.80%,46.7%
矢野貴之,市村誠,40,8,7,4,20.00%,47.5%
西啓太,荒井朋弘,73,8,6,7,11.00%,28.8%
笹川翼,宇野木博徳,25,8,5,4,32.00%,68.0%
川島正太郎,渡邊貴光,26,8,5,3,30.80%,61.5%
落合玄太,小久保智,34,8,4,7,23.50%,55.9%
吉原寛人,小久保智,29,8,4,3,27.60%,51.7%
佐野遥久,高橋宏征,40,8,3,8,20.00%,47.5%
御神本訓史,酒井忍,18,8,3,1,44.40%,66.7%
和田譲治,坂井英光,13,8,0,1,61.50%,69.2%
山中悠希,佐藤裕太,62,7,10,7,11.30%,38.7%
笹川翼,田島寿一,41,7,10,5,17.10%,53.7%
藤田凌,立花伸,35,7,9,4,20.00%,57.1%
佐野遥久,久保秀男,82,7,8,10,8.50%,30.5%
矢野貴之,加藤誠一,33,7,8,5,21.20%,60.6%
張田昂,宇野木博徳,42,7,7,7,16.70%,50.0%
笹川翼,福永敏,46,7,7,6,15.20%,43.5%
本田正重,水野貴史,25,7,5,2,28.00%,56.0%
御神本訓史,渡邉和雄,20,7,5,0,35.00%,60.0%
矢野貴之,的場直之,18,7,5,0,38.90%,66.7%
矢野貴之,田中正人,23,7,4,5,30.40%,69.6%
吉原寛人,内田勝義,34,7,4,2,20.60%,38.2%
増田充宏,高月賢一,46,7,4,1,15.20%,26.1%
和田譲治,阪本一栄,31,7,4,1,22.60%,38.7%
笹川翼,上杉昌宏,43,7,3,6,16.30%,37.2%
西啓太,橋本和馬,52,7,3,5,13.50%,28.8%
